Major Place,Minor Place
385,14717,10
386,11868,59
387,13882,53
388,12019,56
389,10234,87
390,12258,49
391,11438,12
392,13069,36
393,11521,73
394,12403,26
395,13364,57
396,12874,60
397,11380,62
398,13168,53
399,13611,41
400,11550,52
401,13400,88
402,12929,20
403,12285,39
404,12435,73
405,10885,57
406,14640,70
407,13387,68
408,13540,33
409,14640,52
410,10529,41
411,10811,93
412,11780,26
413,14507,87
414,13005,53
415,14517,5
416,10401,54
417,14811,12
418,11204,24
419,10901,24
420,14505,99
421,12479,71
422,12753,22
423,13883,48
424,12117,97
425,14404,35
426,14454,49
427,12284,8
428,10910,69
429,14857,13
430,10323,54
431,11126,34
432,13050,83
433,13518,49
434,11900,75
435,14947,31
436,14034,28
437,10001,29
438,14626,75
439,11444,3
440,12712,82
441,12823,99
442,11835,28
443,13025,4
444,12260,85
445,11162,42
446,12597,63
447,14716,11
448,14218,84
449,13112,48
450,14711,65
451,12887,31
452,10631,67
453,10285,36
454,13005,27
455,13009,87
456,13829,7
457,10812,80
458,12131,42
459,10457,60
460,14923,50
461,12012,70
462,13131,62
463,14458,7
464,11293,66
465,10509,49
466,14666,81
467,12871,35
468,13288,48
469,11813,73
470,14314,89
471,10211,50
472,10458,23
473,10232,18
474,10170,62
475,14399,88
476,14392,65
477,10937,81
478,14604,90
479,14395,10
480,13911,58
481,10879,68
482,11928,33
483,10180,97
484,14113,1
485,12386,100
486,11995,16
487,14775,51
488,10702,25
489,11279,6
490,13316,1
491,11501,15
492,12919,27
493,13494,80
494,12267,98
495,13663,47
496,13312,17
497,10212,61
498,11230,35
499,12430,91
500,12366,38
501,10024,88
502,11767,28
503,14294,88
504,11319,100
505,14989,46
506,14393,17
507,12595,53
508,14749,58
509,10741,97
510,14196,49
511,10086,67
512,11727,14
513,14016,25
514,11359,27
515,14863,57
516,12962,36
517,10188,9
518,13659,100
519,14847,75
520,14409,74
521,10911,34
522,10225,30
523,10505,88
524,10711,49
525,10409,63
526,13840,16
527,12516,16
528,12614,94
529,12160,62
530,11727,65
531,10403,49
532,14236,34
533,11562,93
534,11896,36
535,12107,76
536,13480,46
537,12393,28
538,13480,82
539,12560,1
540,13948,53
541,13519,10
542,13767,8
543,10544,98
544,12906,74
545,10038,35
546,10688,37
547,14330,42
548,14267,13
549,10227,97
550,14780,24
551,10533,32
552,12013,40
553,12525,44
554,10528,75
555,14778,1
556,14379,67
557,13095,19
558,14110,21
559,11063,90
560,10407,55
561,13476,14
562,13641,68
563,14833,45
564,14112,48
565,13628,82
566,14281,12
567,14385,7
568,12323,16
569,11934,41
570,10300,15
571,14113,37
572,12925,50
573,11740,71
574,10138,14
575,11632,34
576,10640,50
577,13784,38
578,12559,56
579,10203,93
580,13554,40
581,14039,33
582,14804,87
583,10434,55
584,10829,91
585,10737,89
586,11068,67
587,12099,95
588,11859,5
589,11932,31
590,11016,10
591,13530,34
592,14702,97
593,10320,25
594,11499,41
595,10920,12
596,12835,92
597,14013,62
598,14970,87
599,11981,77
600,14629,55
601,10279,55
602,10067,14
603,14816,44
604,11127,48
605,14030,66
606,13678,42
607,12821,25
608,13988,54
609,10266,56
610,11325,89
611,12134,78
612,14560,78
613,10504,61
614,13949,84
615,11647,27
616,14850,69
617,11008,94
618,14392,18
619,14514,4
620,14616,64
621,13125,72
622,10611,20
623,14038,66
624,10701,14
625,10149,63
626,12029,81
627,12090,94
628,13010,83
629,11229,96
630,14079,69
631,10983,22
632,10838,13
633,14733,39
634,11870,8
635,13011,58
636,11968,77
637,10951,54
638,13378,1
639,14496,100
640,12059,42
641,14246,84
642,12510,58
643,12880,93
644,11790,86
645,12536,8
646,13736,87
647,12917,85
648,11101,57
649,14137,15
650,11102,58
651,14923,88
652,14554,66
653,12600,62
654,12487,90
655,14615,77
656,13385,44
657,10994,94
658,10740,44
659,10183,88
660,14055,93
661,13440,56
662,12560,10
663,13974,70
664,14339,17
665,12563,77
666,11165,36
667,14914,84
668,12533,60
669,10988,75
670,14316,83
671,14603,95
672,14771,59
673,14255,42
674,11748,19
675,14960,53
676,10415,38
677,11826,9
678,14286,45
679,11768,10
680,14791,41
681,14266,71
682,14317,15
683,12855,41
684,13965,52
685,14675,74
686,10516,60
687,12827,55
688,12628,71
689,11765,77
690,12460,42
691,14661,28
692,11421,16
693,13425,37
694,13898,60
695,11814,48
696,13739,24
697,14938,56
698,10035,52
699,14532,1
700,11614,89
701,14109,68
702,11809,95
703,13561,58
704,13159,42
705,10697,83
706,12518,66
707,10497,32
708,12299,73
709,10270,79
710,14428,12
711,10279,42
712,11378,92
713,11879,51
714,11030,21
715,13126,87
716,13264,22
717,11976,16
718,11340,97
719,13817,64
720,14105,71
721,11474,58
722,14946,5
723,13444,35
724,14124,70
725,13946,78
726,13442,72
727,10926,25
728,14678,68
729,14268,24
730,14290,28
731,12433,77
732,13070,2
733,14794,91
734,11663,26
735,13353,17
736,13367,38
737,13986,36
738,11949,12
739,11883,11
740,13938,77
741,10041,42
742,13468,69
743,10396,61
744,11737,34
745,13744,30
746,11923,17
747,13945,2
748,12656,24
749,12077,98
750,12380,4
751,10028,64
752,11940,100
753,11410,10
754,13993,27
755,12087,47
756,13133,13
757,14239,6
758,12604,40
759,13838,44
760,12211,99
761,11377,94
762,12744,78
763,14427,4
764,14584,65
765,12795,17
766,14778,63
767,14667,92
768,13788,24
769,11531,98
770,13165,52
771,11058,60
772,12251,70
773,12858,82
774,12059,2
775,11727,77
776,10316,95
777,11419,75
778,12342,73
779,13221,96
780,10439,97
781,10677,1
782,14713,15
783,10836,35
784,11767,39
785,10930,14
786,14866,9
787,11578,93
788,13515,77
789,14152,67
790,10061,51
791,13021,50
792,10473,87
793,11204,4
794,12031,3
795,10400,19
796,14266,30
797,10267,66
798,12169,15
799,14430,35
800,12115,65
801,11534,3
802,13045,17
803,10570,52
804,13525,32
805,10685,7
806,14826,24
807,12798,24
808,11318,96
809,14214,96
810,12008,77
811,14392,86
812,14458,28
813,11800,43
814,13364,12
815,10951,27
816,13913,10
817,11811,30
818,11506,71
819,11183,31
820,10665,8
821,11844,43
822,12717,55
823,14334,84
824,13528,97
825,11680,67
826,14846,33
827,13516,72
828,13743,13
829,12813,71
830,10818,29
831,11512,90
832,13280,67
833,10932,22
834,12152,35
835,12407,1
836,12665,16
837,12904,41
838,10773,30
839,11249,2
840,10118,84
841,11237,96
842,11265,51
843,11490,64
844,13858,79
845,12497,59
846,11254,44
847,13940,78
848,13632,27
849,14508,47
850,10760,64
851,13870,17
852,12762,18
853,10058,99
854,12968,80
855,13016,29
856,13146,27
857,14509,1
858,10195,75
859,10105,33
860,11637,72
861,11176,93
862,13110,28
863,13348,96
864,11877,49
865,14961,39
866,10673,57
867,10002,24
868,12250,27
869,11618,12
870,12877,20
871,11581,82
872,13231,34
873,11729,18
874,14594,51
875,13683,96
876,11633,38
877,11563,55
878,14146,50
879,12434,36
880,12373,80
881,13373,19
882,12519,7
883,12473,20
884,12933,6
885,12675,84
886,10928,46
887,14454,65
888,10298,23
889,10780,4
890,10506,90
891,12989,60
892,13765,25
893,14823,54
894,14153,48
895,13524,14
896,10123,61
897,10010,44
898,11686,79
899,14746,80
900,14682,73
901,13300,98
902,11532,73
903,13327,92
904,14687,54
905,11166,75
906,13843,15
907,12886,67
908,11808,5
909,13017,42
910,11506,55
911,10423,64
912,13875,62
913,11059,43
914,12666,52
915,10040,29
916,12926,39
917,12995,100
918,11126,64
919,14708,87
920,12402,86
921,13312,26
922,10475,96
923,13600,42
924,12058,42
925,14871,17
926,11423,14
927,12047,56
928,14802,84
929,13182,42
930,13524,49
931,13902,1
932,13300,22
933,10789,21
934,10437,96
935,12227,10
936,10217,58
937,14461,30
938,11613,64
939,12735,38
940,12603,59
941,14174,83
942,12270,79
943,13170,53
944,11695,70
945,13488,12
946,12822,61
947,12456,5
948,12224,12
949,11420,33
950,14394,84
951,13706,57
952,14541,28
953,12336,51
954,11584,44
955,10567,2
956,10033,63
957,11874,91
958,14337,83
959,13263,26
960,14288,50
961,13038,95
962,14019,49
963,11690,98
964,14723,77
965,14024,70
966,14100,3
967,13637,13
968,14427,27
969,14404,37
970,13454,83
971,13346,19
972,10109,43
973,11914,5
974,14955,39
975,10056,43
976,13072,19
977,13871,21
978,11739,22
979,13156,11
980,14254,72
981,14052,9
982,12861,8
983,12303,46
984,12398,94
985,14379,62
986,14224,51
987,11345,88
988,10025,38
989,13238,29
990,13101,66
991,10517,87
992,10812,33
993,14657,87
994,10368,21
995,14885,52
996,11931,49
997,10103,33
998,14065,65
999,11732,4
1000,11421,36
1001,13322,6
1002,13810,37
1003,11533,82
1004,10755,41
1005,12170,58
1006,11223,64
1007,13221,34
1008,12952,28
1009,14631,58
1010,10069,12
1011,12329,47
1012,13171,7
1013,11200,44
1014,14195,44
1015,14782,63
1016,13854,25
1017,14417,62
1018,13594,90
1019,14321,46
1020,11745,5
1021,14154,42
1022,13269,91
1023,14673,69
1024,12781,85
1025,10338,8
1026,13718,88
1027,10070,78
1028,11531,24
1029,11705,85
1030,14579,30
1031,11865,51
1032,12474,93
1033,12540,51
1034,12620,49
1035,13814,59
1036,14060,9
1037,12884,10
1038,11598,41
1039,13769,53
1040,10173,99
1041,10324,37
1042,14839,9
1043,13637,66
1044,13462,53
1045,11294,60
1046,10649,51
1047,10468,28
1048,10325,1
1049,12402,67
1050,13512,98
1051,14816,13
1052,13632,62
1053,14407,89
1054,11461,14
1055,14716,78
1056,12802,6
1057,11349,81
1058,13047,5
1059,11535,50
1060,13523,48
1061,12665,25
1062,12831,5
1063,11445,56
1064,13420,74
1065,13321,37
1066,12830,29
1067,10159,69
1068,13292,92
1069,10944,40
1070,12904,82
1071,10603,92
1072,10186,67
1073,13535,44
1074,13154,96
1075,12642,93
1076,14687,66
1077,14544,30
1078,12972,14
1079,11805,56
1080,14670,81
1081,11358,49
1082,11990,31
1083,10033,73
1084,11436,49
1085,12357,17
1086,10647,67
1087,13502,28
1088,10097,20
1089,14571,32
1090,13493,48
1091,12473,72
1092,10393,47
1093,12841,54
1094,10953,61
1095,13503,19
1096,10863,85
1097,13317,90
1098,11788,38
1099,12549,37
1100,14749,63
1101,13420,60
1102,12512,77
1103,14249,92
1104,13938,69
1105,11528,61
1106,10803,7
1107,11985,33
1108,11142,36
1109,12936,37
1110,10368,14
1111,14766,13
1112,12853,30
1113,12623,21
1114,13136,10
1115,11157,32
1116,13552,57
1117,10736,34
1118,14662,43
1119,13883,88
1120,12511,39
1121,12324,78
1122,10333,65
1123,13226,71
1124,13297,26
1125,10226,11
1126,10083,53
1127,12825,89
1128,11322,31
1129,12783,36
1130,11896,20
1131,14625,73
1132,14524,8
1133,10341,47
1134,10747,96
1135,13622,2
1136,11523,63
1137,12160,7
1138,14489,91
1139,11662,17
1140,12982,80
1141,14554,63
1142,10162,29
1143,13839,17
1144,10018,25
1145,12507,57
1146,13963,74
1147,11843,73
1148,14462,49
1149,10809,27
1150,10987,71
1151,11538,58
1152,10648,57
1153,11335,74
1154,14137,85
1155,12769,98
1156,11085,85
1157,14183,56
1158,10873,40
1159,12543,86
1160,11128,67
1161,14851,56
1162,10697,78
1163,12421,82
1164,10457,1
1165,11075,13
1166,14577,60
1167,11662,95
1168,11159,46
1169,12027,91
1170,10528,20
1171,10095,58
1172,11290,88
1173,11964,13
1174,10157,77
1175,13503,92
1176,14121,67
1177,12611,6
1178,10609,51
1179,12036,47
1180,11679,72
1181,14871,100
1182,11906,25
1183,10177,68
1184,14188,39
1185,10092,31
1186,10060,78
1187,12356,68
1188,10390,38
1189,14051,72
1190,13016,41
1191,13118,28
1192,10093,14
1193,11323,100
1194,10895,8
1195,10061,77
1196,10644,21
1197,13888,13
1198,11346,80
1199,12318,50
1200,11737,28
1201,12504,71
1202,13848,72
1203,11576,61
1204,13825,75
1205,14983,24
1206,10419,19
1207,13363,61
1208,10520,47
1209,13157,69
1210,14350,59
1211,13359,3
1212,10846,84
1213,12714,50
1214,13221,7
1215,11043,17
1216,10373,5
1217,10905,1
1218,11936,16
1219,12841,86
1220,11218,2
1221,10081,1
1222,11881,61
1223,13441,1
1224,12097,60
1225,12881,58
1226,13743,39
1227,12754,63
1228,11247,8
1229,11599,85
1230,13723,1
1231,14437,81
1232,11629,17
1233,13907,72
1234,12502,35
1235,12597,7
1236,13977,20
1237,11091,37
1238,13556,30
1239,14828,55
1240,12767,4
1241,14447,89
1242,14644,1
1243,10830,93
1244,13917,71
1245,12089,87
1246,14436,27
1247,14785,71
1248,13651,9
1249,12742,55
1250,10366,51
1251,12691,66
1252,13572,48
1253,13192,89
1254,12234,78
1255,11709,54
1256,12489,35
1257,11221,72
1258,12788,82
1259,14007,78
1260,14135,37
1261,14042,85
1262,14203,88
1263,13048,24
1264,10239,38
1265,13201,60
1266,12914,25
1267,14695,67
1268,11203,62
1269,12592,9
1270,10453,78
1271,10336,21
1272,10791,45
1273,10860,9
1274,10519,32
1275,11664,15
1276,10741,51
1277,12891,87
1278,10114,12
1279,14145,24
1280,10929,54
1281,13195,10
1282,10354,39
1283,12957,71
1284,14259,99
1285,12286,97
1286,13644,55
1287,14940,19
1288,11450,57
1289,14256,96
1290,13429,3
1291,13047,85
1292,11896,71
1293,14230,2
1294,12633,13
1295,14978,17
1296,10683,23
1297,11181,79
1298,13905,11
1299,12820,21
1300,12536,35
1301,10389,91
1302,14620,10
1303,14804,8
1304,12795,74
1305,13453,61
1306,14484,33
1307,11786,2
1308,11363,40
1309,11973,62
1310,11973,24
1311,11829,94
1312,13587,88
1313,10647,84
1314,14093,43
1315,10830,46
1316,12989,99
1317,14895,67
1318,10638,70
1319,13395,52
1320,11326,16
1321,14125,48
1322,13551,50
1323,11781,51
1324,12341,79
1325,12088,2
1326,10346,33
1327,12355,25
1328,11779,28
1329,11839,100
1330,14750,9
1331,14511,46
1332,12763,46
1333,11722,36
1334,11130,79
1335,12958,18
1336,11056,85
1337,10499,73
1338,13545,65
1339,14649,56
1340,12470,90
1341,10755,22
1342,13791,64
1343,10573,44
1344,11326,28
1345,13208,67
1346,10296,86
1347,14034,19
1348,11163,74
1349,10402,92
1350,11978,77
1351,11276,69
1352,13481,51
1353,11681,9
1354,10504,20
1355,10988,71
1356,13788,36
1357,11129,100
1358,14512,87
1359,14669,5
1360,10194,5
1361,14936,27
1362,11750,10
1363,10693,17
1364,13495,36
1365,11528,34
1366,13139,34
1367,11228,25
1368,14016,73
1369,11359,79
1370,13335,33
1371,12101,96
1372,13109,56
1373,12719,81
1374,12485,74
1375,12099,26
1376,10207,71
1377,11837,20
1378,10877,65
1379,11637,85
1380,10337,82
1381,14599,91
1382,11249,57
1383,13707,76
1384,10760,53
1385,14935,85
1386,12692,68
1387,13724,21
1388,14784,53
1389,12371,53
1390,11345,99
1391,12767,50
1392,11716,74
1393,13030,52
1394,13584,11
1395,14583,79
1396,11550,29
1397,11989,77
1398,10483,48
1399,12064,19
1400,14512,59
1401,10748,23
1402,14266,58
1403,14972,56
1404,10157,90
1405,10397,67
1406,10556,28
1407,12313,74
1408,11620,75
1409,13102,52
1410,11259,70
1411,12520,25
1412,10261,17
1413,10259,69
1414,10175,97
1415,14001,28
1416,13030,29
1417,11348,44
1418,10909,63
1419,13881,61
1420,13415,85
1421,12122,7
1422,11551,66
1423,14527,6
1424,12237,84
1425,12153,85
1426,10554,90
1427,11432,44
1428,11450,75
1429,10073,5
1430,13201,73
1431,14312,90
1432,12736,13
1433,10475,15
1434,14344,91
1435,11589,41
1436,12806,54
1437,12572,94
1438,10416,2
1439,13118,9
1440,14839,12
1441,11307,47
1442,11096,94
1443,13749,97
1444,10283,88
1445,10559,64
1446,12972,52
1447,11883,29
1448,10631,66
1449,10059,96
1450,12477,71
1451,13317,88
1452,10961,3
1453,10835,16
1454,11215,33
1455,14352,90
1456,14156,50
1457,10192,76
1458,12968,4
1459,11929,8
1460,11989,30
1461,10687,83
1462,12789,43
1463,12537,73
1464,11958,46
1465,12911,79
1466,14409,70
1467,13759,96
1468,10627,36
1469,11748,66
1470,10070,3
1471,13810,7
1472,10913,32
1473,10174,75
1474,13424,44
1475,11415,85
1476,13677,56
1477,14164,97
1478,14246,81
1479,13420,79
1480,10906,3
1481,14902,25
1482,10594,53
1483,10941,33
1484,13077,91
1485,12822,40
1486,12275,36
1487,10259,36
1488,13055,46
1489,10956,89
1490,12977,25
1491,11231,48
1492,13748,69
1493,13128,73
1494,11399,54
1495,11625,83
1496,10157,34
1497,12621,24
1498,10529,47
1499,13130,19
1500,10134,72
1501,14362,23
1502,14584,29
1503,11446,37
1504,14497,91
1505,10301,19
1506,11812,98
1507,10812,26
1508,13579,31
1509,12166,81
1510,12483,88
1511,11338,41
1512,10786,91
1513,10145,95
1514,11435,87
1515,10810,82
1516,13414,27
1517,14382,79
1518,10003,58
1519,10913,87
1520,10144,61
1521,14932,29
1522,13485,4
1523,11480,82
1524,12965,49
1525,14572,93
1526,13347,25
1527,10779,21
1528,11356,7
1529,14480,100
1530,10450,3
1531,12013,66
1532,10047,3
1533,10299,97
1534,11335,24
1535,10154,68
1536,11719,58
1537,12091,85
1538,13202,4
1539,12595,4
1540,13016,17
1541,12129,23
1542,12957,47
1543,13363,38
1544,13362,81
1545,13221,33
1546,10899,57
1547,12304,67
1548,11956,72
1549,12905,74
1550,12715,64
1551,12318,42
1552,10929,8
1553,13657,42
1554,12340,38
1555,14836,4
1556,11791,51
1557,11056,66
1558,11138,5
1559,11259,38
1560,11120,14
1561,13609,5
1562,10807,72
1563,14603,39
1564,13828,81
1565,10955,19
1566,11377,16
1567,10252,44
1568,11873,58
1569,13529,43
1570,12746,71
1571,14966,3
1572,13868,67
1573,14042,87
1574,12972,98
1575,14742,45
1576,14401,51
1577,14330,55
1578,12020,43
1579,14583,10
1580,13795,84
1581,11115,27
1582,10028,88
1583,13079,15
1584,11654,48
1585,11078,24
1586,14963,87
1587,10730,76
1588,10421,50
1589,12966,28
1590,13755,14
1591,11946,84
1592,13168,10
1593,13413,96
1594,11989,30
1595,11151,17
1596,14140,13
1597,10972,16
1598,12882,71
1599,10643,85
1600,12328,57
1601,14473,21
1602,13303,6
1603,12801,65
1604,12993,84
1605,10538,100
1606,11602,46
1607,12747,71
1608,12488,80
1609,10849,51
1610,13815,33
1611,14307,30
1612,14443,64
1613,12192,1
1614,12123,49
1615,14194,9
1616,11670,8
1617,11124,31
1618,13667,75
1619,11151,83
1620,10506,33
1621,12703,32
1622,12435,59
1623,12082,68
1624,14211,87
1625,14289,66
1626,14652,86
1627,12894,33
1628,14294,82
1629,10510,5
1630,12059,89
1631,10450,40
1632,10649,94
1633,14713,11
1634,10816,71
1635,11502,52
1636,12163,88
1637,12769,67
1638,10127,52
1639,11525,7
1640,12775,81
1641,12032,68
1642,11201,29
1643,14504,68
1644,13968,82
1645,12301,43
1646,13024,4
1647,11572,42
1648,13901,3
1649,12672,50
1650,11308,13
1651,10921,74
1652,10376,6
1653,12011,83
1654,14112,28
1655,14723,95
1656,12511,11
1657,14231,82
1658,10394,95
1659,12264,55
1660,13320,93
1661,13408,53
1662,12405,47
1663,11716,57
1664,13762,38
1665,12731,94
1666,13780,69
1667,11140,28
1668,11525,44
1669,12076,92
1670,11442,72
1671,13167,97
1672,14875,96
1673,13371,59
1674,11879,68
1675,13235,41
1676,10131,31
1677,11946,51
1678,11830,66
1679,13045,69
1680,12521,5
1681,14952,6
1682,14025,62
1683,12689,13
1684,13219,70
1685,12880,38
1686,13879,61
1687,10002,63
1688,11372,58
1689,14697,64
1690,11116,46
1691,12860,31
1692,10244,50
1693,10129,92
1694,11535,78
1695,12430,70
1696,11981,92
1697,11644,45
1698,13805,17
1699,13002,91
1700,10195,2
1701,12285,5
1702,14273,99
1703,13780,45
1704,11518,30
1705,14133,50
1706,11203,65
1707,12613,22
1708,14703,73
1709,14276,37
1710,11566,35
1711,12370,1
1712,11283,41
1713,14167,33
1714,12956,85
1715,10595,36
1716,13633,40
1717,10134,7
1718,10152,84
1719,10529,43
1720,14679,71
1721,10737,77
1722,13847,94
1723,13470,17
1724,11111,35
1725,12073,18
1726,10989,70
1727,13684,6
1728,11706,12
1729,14640,44
1730,12509,70
1731,14186,31
1732,11619,70
1733,14726,66
1734,11657,80
1735,10151,52
1736,13762,49
1737,14394,38
1738,13628,23
1739,10199,85
1740,10787,22
1741,12415,69
1742,13424,52
1743,13273,71
1744,10594,46
1745,10414,74
1746,11622,37
1747,14999,65
1748,14353,75
1749,10764,100
1750,10127,51
1751,13498,5
1752,10634,59
1753,10497,21
1754,13679,39
1755,10259,82
1756,11345,27
1757,12650,97
1758,10845,63
1759,14625,69
1760,14141,12
1761,11518,3
1762,12145,65
1763,10277,62
1764,13146,83
1765,10763,35
1766,14647,11
1767,13767,41
1768,12863,23
1769,10739,16
1770,13906,36
1771,13402,70
1772,14704,86
1773,12448,62
1774,14099,30
1775,13442,56
1776,14478,39
1777,14711,82
1778,10332,36
1779,11148,68
1780,13938,19
1781,10600,94
1782,11109,33
1783,11378,33
1784,10424,25
1785,13076,63
1786,11826,55
1787,11411,96
1788,14619,93
1789,13526,63
1790,11517,83
1791,10152,40
1792,12445,13
1793,11570,81
1794,13114,68
1795,13334,30
1796,14526,77
1797,10929,52
1798,14804,7
1799,12380,69
1800,12266,53
1801,12200,3
1802,13833,80
1803,10473,59
1804,14535,14
1805,13014,48
1806,13785,84
1807,11446,20
1808,14186,47
1809,10851,17
1810,10543,79
1811,12104,38
1812,12905,64
1813,10807,60
1814,10105,60
1815,12995,30
1816,13494,8
1817,10774,47
1818,12271,60
1819,14531,19
1820,11993,92
1821,10777,14
1822,11953,66
1823,12155,44
1824,12696,9
1825,12735,15
1826,10935,58
1827,10859,4
1828,12200,40
1829,12739,25
1830,10342,19
1831,13896,67
1832,13973,96
1833,12755,38
1834,10153,68
1835,11372,82
1836,12722,69
1837,14239,83
1838,13374,36
1839,10805,42
1840,10156,45
1841,14327,63
1842,14714,2
1843,12476,40
1844,10418,77
1845,13461,5
1846,14921,4
1847,14713,16
1848,14840,11
1849,10607,44
1850,12451,5
1851,14158,41
1852,12054,42
1853,11323,14
1854,10136,77
1855,13340,85
1856,13212,75
1857,12895,71
1858,13156,75
1859,12735,13
1860,14842,58
1861,11584,12
1862,14880,54
1863,11810,14
1864,11718,19
1865,10540,5
1866,12252,66
1867,12884,31
1868,14490,24
1869,10597,68
1870,14600,6
1871,14676,55
1872,14009,32
